Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS554I	CC430F5133	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F5135	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F5137	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6125	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6126	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6127	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6135	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6137	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5123	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5125	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5143	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5145	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5147	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F6143	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F6145	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F6147	SLAU259	1.8	3.6										5	10	20	1	15
