Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS340J	MSP430C412	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430C413	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F412	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F413	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F415	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS340J	MSP430F417	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F435	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F4351	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F436	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F4361	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F437	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F4371	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F447	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F448	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F4481	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F449	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS344G	MSP430F4491	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS380C	MSP430FG437	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS380C	MSP430FG438	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS380C	MSP430FG439	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS383E	MSP430FW423	SLAU056	2.7	3.6	257	476	35	20	30	21	6	5297	4819	5	10			
SLAS383E	MSP430FW425	SLAU056	2.7	3.6	257	476	35	20	30	21	6	5297	4819	5	10			
SLAS383E	MSP430FW427	SLAU056	2.7	3.6	257	476	35	20	30	21	6	5297	4819	5	10			
SLAS383E	MSP430FW428	SLAU056	2.7	3.6	257	476	35	20	30	21	6	5297	4819	5	10			
SLAS383E	MSP430FW429	SLAU056	2.7	3.6	257	476	35	20	30	21	6	5297	4819	5	10			
SLAS396D	MSP430FE423	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS396D	MSP430FE425	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS396D	MSP430FE427	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS421B	MSP430F423	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS421B	MSP430F425	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS421B	MSP430F427	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS455D	MSP430F4250	SLAU056	2.5	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS455D	MSP430F4260	SLAU056	2.5	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS455D	MSP430F4270	SLAU056	2.5	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS508I	MSP430FG4616	SLAU056	2.7	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS508I	MSP430FG4617	SLAU056	2.7	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS508I	MSP430FG4618	SLAU056	2.7	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS508I	MSP430FG4619	SLAU056	2.7	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS545C	MSP430F4783	SLAU056	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS545C	MSP430F4784	SLAU056	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS545C	MSP430F4793	SLAU056	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS545C	MSP430F4794	SLAU056	2.2	3.6	257	476	30	20	25	18	6	10593	4819	5	10			
SLAS556A	MSP430FG4250	SLAU056	2.5	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS556A	MSP430FG4260	SLAU056	2.5	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS556A	MSP430FG4270	SLAU056	2.5	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS588	MSP430FE423A	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS588	MSP430FE425A	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS588	MSP430FE427A	SLAU056	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
