Designator,Mid X,Mid Y,Rotation,Layer
C1,176.1525,-109.65,180.0,top
C10,171.704,-97.766,180.0,top
C11,166.624,-79.732,270.0,top
C12,166.624,-89.384,270.0,top
C2,170.3335,-118.34,0.0,top
C3,176.1525,-111.2,0.0,top
C4,170.3335,-116.816,180.0,top
C5,162.5092,-104.624,180.0,top
C6,183.2356,-80.4432,90.0,top
C7,170.307,-106.021,0.0,top
C8,184.7596,-80.4432,90.0,top
C9,167.894,-97.766,180.0,top
D1,121.940253,-119.698988,0.0,top
F1,170.321,-107.531,0.0,top
J1,186.69,-95.48,0.0,top
J10,153.67,-91.67,0.0,top
J2,172.72,-70.12,90.0,top
J3,162.56,-70.0,90.0,top
J4,153.67,-117.07,0.0,top
J5,160.02,-114.53,270.0,top
J6,184.133186,-70.109505,270.0,top
J7,162.56,-90.4,0.0,top
J8,123.19,-80.24,0.0,top
J9,123.19,-99.33,0.0,top
R1,170.3525,-113.768,0.0,top
R2,170.3343,-115.292,180.0,top
R3,162.5092,-103.1,0.0,top
R4,162.5092,-106.148,180.0,top
R5,123.528947,-115.239454,90.0,top
R6,153.687994,-74.975,180.0,top
RN1,162.950937,-77.246262,0.0,top
RN2,178.479139,-89.477143,0.0,top
RN3,178.469958,-83.720074,0.0,top
RN4,178.49,-101.2,0.0,top
RN5,178.49,-95.441631,0.0,top
U1,138.485,-94.175,0.0,top
U2,170.514,-110.513,180.0,top
U3,169.926,-100.052,180.0,top
U4,170.434,-82.018,0.0,top
U5,170.434,-91.67,0.0,top
U6,178.138712,-77.981586,180.0,top
U7,176.403,-105.894,180.0,top
