Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",85.000000,-64.800000,0.000000,top
"C2","33pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",72.125000,-64.075000,180.000000,top
"C3","33pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",72.125000,-61.050000,180.000000,top
"C4","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",70.325000,-65.250000,0.000000,top
"C5","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.900000,-66.500000,0.000000,top
"C6","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",85.000000,-62.825000,180.000000,top
"C7","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",76.050000,-57.100000,270.000000,top
"C8","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",82.250000,-67.775000,180.000000,top
"C9","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",74.750000,-61.250000,90.000000,top
"C10","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",77.300000,-57.100000,270.000000,top
"C11","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",90.043000,-56.515000,0.000000,top
"C12","4.7pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",84.500000,-66.800000,270.000000,top
"C13","4.7pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",91.500000,-66.800000,270.000000,top
"C14","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.350000,-55.800000,90.000000,top
"C15","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",96.525000,-63.375000,180.000000,top
"C16","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",97.025000,-62.100000,180.000000,top
"C17","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",95.512500,-55.500000,180.000000,top
"C18","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",104.584500,-60.642500,0.000000,top
"C19","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",96.075000,-56.750000,0.000000,top
"C20","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.330500,-59.372500,0.000000,top
"C21","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.400000,-53.000000,270.000000,top
"C22","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",108.650000,-52.450000,270.000000,top
"C23","220nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",77.890000,-54.110000,90.000000,top
"D1","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.456000,-60.706000,90.000000,top
"D2","RED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.980000,-60.706000,90.000000,top
"F1","0603L010YR","Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder",103.050000,-56.525000,270.000000,top
"J3","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",82.700000,-55.840000,0.000000,top
"R1","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",72.136000,-63.067400,180.000000,top
"R2","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",72.136000,-62.051400,180.000000,top
"R3","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",85.000000,-63.800000,0.000000,top
"R4","100","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",85.000000,-61.825000,180.000000,top
"R5","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",89.674100,-59.182000,180.000000,top
"R6","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",89.662000,-58.166000,180.000000,top
"R7","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",74.750000,-67.450000,0.000000,top
"R8","47K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.350000,-58.050000,270.000000,top
"R9","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",99.675000,-60.642500,180.000000,top
"R10","47K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",104.600000,-68.750000,180.000000,top
"R11","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",102.336000,-60.642500,180.000000,top
"RN1","33","R_Array_Convex_4x0402_hand_soldered",108.150000,-60.896500,0.000000,top
"RN2","33","R_Array_Convex_4x0402_hand_soldered",108.150000,-66.000000,0.000000,top
"U1"," AMS1117-3.3","SOT-89-3",72.707500,-56.261000,180.000000,top
"U2","STM32L432KBU6","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",79.000000,-63.550000,180.000000,top
"U3","AD8531ARTZ","SOT-23-5_HandSoldering",99.625000,-56.575000,180.000000,top
"U4","TXS0108EPWR","TSSOP-20_4.4x6.5mm_P0.65mm",102.400000,-64.725000,0.000000,top
"Y1","32768 7pF","Crystal_SMD_G8-2Pin_3.2x1.5mm_HandSoldering",88.000000,-66.800000,0.000000,top
