Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS673	MSP430C091	SLAU321																
SLAS673	MSP430C092	SLAU321																
SLAS673	MSP430L092	SLAU321																
SLAS554I	CC430F5133	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F5135	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F5137	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6125	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6126	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6127	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6135	SLAU259	1.8	3.6										5	10	20	1	15
SLAS554I	CC430F6137	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5123	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5125	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5143	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5145	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F5147	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F6143	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F6145	SLAU259	1.8	3.6										5	10	20	1	15
SLAS555B	CC430F6147	SLAU259	1.8	3.6										5	10	20	1	15
SLAS865F	MSP430FR4131	SLAU445												16	16	10	110	15
SLAS865F	MSP430FR4132	SLAU445												16	16	10	110	15
SLAS865F	MSP430FR4133	SLAU445												16	16	10	110	15
SLAS942E	MSP430FR2532	SLAU445												10	10	10	110	15
SLAS942E	MSP430FR2533	SLAU445												10	10	10	110	15
SLAS942E	MSP430FR2632	SLAU445												10	10	10	110	15
SLAS942E	MSP430FR2633	SLAU445												10	10	10	110	15
SLASEO5D	MSP430FR2672	SLAU445												10	10	8	100	15
SLASEO5D	MSP430FR2673	SLAU445												10	10	8	100	15
SLASEO5D	MSP430FR2675	SLAU445												10	10	8	100	15
SLASEO5D	MSP430FR2676	SLAU445												10	10	8	100	15
SLASEO7C	MSP430FR2475	SLAU445												10	10	8	100	15
SLASEO7C	MSP430FR2476	SLAU445												10	10	8	100	15
SLASE45E	MSP430FR2032	SLAU445												16	16	10	110	15
SLASE45E	MSP430FR2033	SLAU445												16	16	10	110	15
SLASE58E	MSP430FR2310	SLAU445												10	10	8	110	15
SLASE58E	MSP430FR2311	SLAU445												10	10	8	110	15
SLASE59F	MSP430FR2433	SLAU445												10	10	10	110	15
SLASE78E	MSP430FR2000	SLAU445												10	10	8	110	15
SLASE78E	MSP430FR2100	SLAU445												10	10	8	110	15
SLASE78E	MSP430FR2110	SLAU445												10	10	8	110	15
SLASE78E	MSP430FR2111	SLAU445												10	10	8	110	15
SLASE78E	MSP430FR4133	SLAU445												10	10	8	110	15
SLASEC4D	MSP430FR2153	SLAU445												10	10	8	110	15
SLASEC4D	MSP430FR2155	SLAU445												10	10	8	110	15
SLASEC4D	MSP430FR2353	SLAU445												10	10	8	110	15
SLASEC4D	MSP430FR2355	SLAU445												10	10	8	110	15
SLASEE4C	MSP430FR2512	SLAU445												10	10	8	110	15
SLASEE4C	MSP430FR2522	SLAU445												10	10	8	110	15
SLASEE5D	MSP430FR2422	SLAU445												10	10	8	110	15
SLAS639L	MSP430FR5730	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5731	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5732	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5733	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5734	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5735	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5736	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5737	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5738	SLAU272												5	10	20	1	19
SLAS639L	MSP430FR5739	SLAU272												5	10	20	1	19
SLAS704G	MSP430FR5947	SLAU367												16	16	10	110	15
SLAS704G	MSP430FR59471	SLAU367												16	16	10	110	15
SLAS704G	MSP430FR5948	SLAU367												16	16	10	110	15
SLAS704G	MSP430FR5949	SLAU367												16	16	10	110	15
SLAS704G	MSP430FR5957	SLAU367												16	16	10	110	15
