Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS439F	MSP430F2101	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS439F	MSP430F2111	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS439F	MSP430F2121	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS439F	MSP430F2131	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS491I	MSP430F2001	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2002	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2003	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2011	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2012	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS491I	MSP430F2013	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2232	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2234	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2252	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2254	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2272	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS504G	MSP430F2274	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10	20	1	15
SLAS518E	MSP430F2330	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS518E	MSP430F2350	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS518E	MSP430F2370	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2416	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2417	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2418	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2419	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2616	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
SLAS541L	MSP430F2617	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5	10			
